Timestamp,Filled in by,Date of experiment,Time slot,Experimenter,Confederate,Participant ID:,Question # was touch received,Script,a,b,c,d,e,f,g,h,i,j,k,l,Meaning of the touch,Meaning of touch matched tactile stimuli?,Why or why not?
20/11/2018 17:56:43,Fenella,20/11/2018,11:00:00,Fenella,Emily,1,2,B,6,6,4,4,6,5,4,4,3,3,3,4,To support the statement that the participant is better than the rest,3,It felled funny
20/11/2018 18:37:21,Fenella,20/11/2018,11:00:00,Fenella,Emily,1,4,B,5,5,4,4,5,5,4,3,3,3,3,4,To support the happy feeling she described,4,It was a nice feeling
21/11/2018 10:15:16,Piet,21/11/2018,9:00:00,Piet,Maureen,101,2,A,4,4,3,5,6,3,3,5,4,2,5,7,Establish personal connection (contact),4,It provided the feeling that the other participant was closer and more involved.
21/11/2018 10:17:37,Piet,21/11/2018,9:00:00,Piet,Maureen,101,4,A,4,3,5,4,5,6,4,5,3,5,5,6,To establish some connection (to seem closer to me).,2,"The subject of question was less personal than the other questions, and therefore the touch was a bit unnecessary. "
21/11/2018 10:23:52,Piet,21/11/2018,9:30:00,Piet,Maureen,102,2,A,5,5,5,5,5,6,4,3,4,3,3,3,I think that the person is giving a signal that what they said (or type) is true and genuine (original feeling). ,3,50/50 because there are only one type of 'touch' so it could be having another meaning. 
21/11/2018 10:25:41,Piet,21/11/2018,9:30:00,Piet,Maureen,102,4,A,3,3,3,4,4,4,4,3,4,3,3,3,I feel that the other person is trying to show that he/she is very confident with the answer or have strong emotion to the information on the answer. ,4,I just feel it like that. 
21/11/2018 10:50:20,Piet,21/11/2018,10:00:00,Piet,Maureen,103,2,B,5,5,4,6,4,5,5,6,3,5,6,5,To give me a warning not to ask questions about the specific information. ,2,The favourite subject at school for me is not a specific question and only a general asking. Can be answered easily. 
21/11/2018 10:53:21,Piet,21/11/2018,10:00:00,Piet,Maureen,103,4,B,5,4,4,3,4,5,3,4,2,4,4,5,"To share her happiness, remembering childhood memories of playing lego, because the question is about the favourite toy as a child. ",4,"The touch is more relaxed, smoother than previous. I think the message is to deliver the happiness. "
21/11/2018 11:20:02,Piet,21/11/2018,10:30:00,Piet,Maureen,104,2,B,4,4,4,4,4,4,5,5,5,5,5,3,Here I am,4,comfort
21/11/2018 11:22:07,Piet,21/11/2018,10:30:00,Piet,Maureen,104,4,B,1,1,1,1,1,1,4,4,3,6,6,3,"To comfort, like Lego playing. ",4,Like the soft touch
21/11/2018 11:49:32,Piet,21/11/2018,11:00:00,Piet,Maureen,105,4,B,6,7,2,2,2,1,6,6,5,5,4,4,I think the participant was excited by her response to the 4th question and wanted to convey that to me. ,2,It was more buzzy and alerting than expression joy. 
21/11/2018 12:18:25,Piet,21/11/2018,11:30:00,Piet,Maureen,106,2,A,5,5,6,6,7,5,2,2,4,3,5,3,They were trying to show the comfort they felt while describing their childhood toy. ,4,The simulated touch was gentle and comforting and I felt that this matched the emotion being conveyed. 
21/11/2018 12:20:47,Piet,21/11/2018,11:30:00,Piet,Maureen,106,4,A,4,4,5,4,5,5,4,4,3,4,3,3,I think it was meant to display confidence and reassurance. ,3,The touch felt a bit gentle so I don't fully think it conveyed the confidence they were going for. 
21/11/2018 12:43:38,Fenella,21/11/2018,12:00:00,Piet,Maureen,107,2,A,6,6,5,6,6,4,1,2,1,2,2,1,I think it had the same meaning as a smile in a conversation.,4,"The light and ""funny"" touch made me smile a little, as is the same for a smile in a conversation."
21/11/2018 12:46:22,Fenella,21/11/2018,12:00:00,Piet,Maureen,107,4,A,4,3,4,4,5,3,5,3,3,4,3,3,That she wanted to tell me her strong feelings in a more noticing way.,4,"The tactile display filled the meaning, because the meaning was more hard, as was the physical situation from the tactile display"
21/11/2018 13:47:35,Fenella,21/11/2018,13:00:00,Fenella,Emily,109,2,A,2,2,3,3,3,4,3,3,6,5,4,6,I think they didn't want to convey anything.,3,"Since I cannot see a meaning behind the touch, I cannot really answer this question."
21/11/2018 13:50:34,Fenella,21/11/2018,13:00:00,Fenella,Emily,109,4,A,2,2,3,4,3,3,4,4,5,6,5,6,A touch could be used to simulate closeness but I don't see any reason for this right now.,3,"For me, the touch mean nothing."
21/11/2018 15:11:48,Fenella,21/11/2018,13:30:00,Fenella,Emily,110,2,B,5,5,5,5,4,4,5,6,4,5,5,5,To let me know she is there,4,it was a pleasant touch
21/11/2018 15:13:23,Fenella,21/11/2018,13:30:00,Fenella,Emily,110,4,B,5,5,5,5,5,4,5,6,6,5,5,5,To let me know that she is there,3,I felt more tension
21/11/2018 15:39:18,Fenella,21/11/2018,15:00:00,Fenella,Emily,113,2,B,6,5,5,6,6,5,3,3,2,2,1,3,The person was trying to show her relaxed mind,4,"It was a smooth touch, so think it conveyed the message"
21/11/2018 15:41:55,Fenella,21/11/2018,15:00:00,Fenella,Emily,113,4,B,6,6,6,5,5,5,4,3,5,2,3,4,The other person liked doing this stuff.,4,It is something they liked
21/11/2018 16:23:00,Fenella,21/11/2018,15:30:00,Fenella,Emily,114,2,B,4,3,4,3,4,4,2,2,5,5,4,3,Her dissatisfaction with the memory of her childhood,4,"The touch was sudden and unexpected, which seems in line with the emotion conveyed in her response"
21/11/2018 16:27:12,Fenella,21/11/2018,15:30:00,Fenella,Emily,114,4,B,6,5,4,6,5,4,6,3,7,2,1,5,"Happiness and reassurance, the feelings that are connected to family. A safe feeling when thinking back to your childhood.",4,The duration of the touch really emphasise the ease that is conveyed when thinking of family
21/11/2018 16:57:21,Fenella,21/11/2018,16:00:00,Fenella,Emily,115,4,A,3,3,2,3,3,3,3,3,5,3,3,4,Testing a machine,3,It's a machine!
21/11/2018 16:59:14,Fenella,21/11/2018,16:00:00,Fenella,Emily,115,2,A,2,2,2,2,3,2,5,5,6,5,5,5,Testing some machine,1,It's a machine!
21/11/2018 17:23:12,Fenella,21/11/2018,16:30:00,Fenella,Emily,116,4,B,4,5,4,3,6,4,3,5,3,2,4,6,I am again not sure.,1,I did not rally understand the reason of the touch
21/11/2018 17:25:17,Fenella,21/11/2018,16:30:00,Fenella,Emily,116,2,B,4,5,4,3,6,5,3,5,4,6,4,4,I actually really don't know. The touch did not make sense in this case.,1,The touch did not make sense
22/11/2018 09:55:42,Emily,22/11/2018,9:00:00,Emily,Maureen,201,2,A,3,3,4,5,3,4,2,2,5,5,4,4,I think the other person was conveying these emotions of the childhood and the sense of happiness with the touch.,3,"It took me by surprise, firstly. Secondly, it was a bit too long for my comfort."
22/11/2018 09:59:36,Emily,22/11/2018,9:00:00,Emily,Maureen,201,4,A,5,4,5,5,5,4,6,5,6,7,6,6,The anger emotion was felt. The pride of the person is also sensed (?) in the touch.,5,"The touch was more enough & hatred (?), conveying the sense of anger."
22/11/2018 10:30:42,Emily,22/11/2018,9:30:00,Emily,Maureen,202,4,B,4,4,7,5,4,5,4,4,6,4,4,4,That person was cheerful when asked abt a childhood habit with her/her family and felt happy to share.,4,It is not about being appropriate as it is related to human beings which I realized from the pattern to which the other person answers through heurh (???)
22/11/2018 10:34:34,Emily,22/11/2018,9:30:00,Emily,Maureen,202,2,B,4,4,7,5,4,5,4,4,6,4,4,4,I think the person feels the question to be appropriate and for a starter conversation this was more fun & bonding.,5,The question was by my perception very appropriate as a starting conversation.
22/11/2018 12:44:11,Maureen,22/11/2018,12:00:00,Maureen,Fenella,207,2,A,4,4,7,5,5,5,2,2,4,4,5,4,That she liked the question and my interest in her childhood,2,In a regular conversation you would probably just smile and not touch someone
22/11/2018 12:47:32,Maureen,22/11/2018,12:00:00,Maureen,Fenella,207,4,A,5,5,6,5,6,6,2,2,4,5,3,4,Again that she liked the question. The asnwer she gave was funny and the touch made it feel more personal.,4,"Normally you would just lay your hand on someone's shoulder or arm instead of going over it, but it did match somewhat"
22/11/2018 13:18:45,Maureen,22/11/2018,12:30:00,Maureen,Fenella,208,2,A,,,6,,,,,2,,,,,"A memory down the lane, so can be something close to my heart and touch means to share it with you/others in general. A sense of compassion",5,yes it was comfortable
22/11/2018 13:21:18,Maureen,22/11/2018,12:30:00,Maureen,Fenella,208,4,A,,6,,,,,,2,,,,,The touch puts me back into thinking of the situation & memory she explained & think about mine as well,5,_
22/11/2018 16:51:22,Piet,22/11/2018,16:00:00,Piet,Fenella,215,2,B,5,5,,4,6,3,3,6,4,6,3,7,Trying to make her answer more strong by touching. ,2,It is a bit strange that you can't make eye contact or anything. 
22/11/2018 16:53:30,Piet,22/11/2018,16:00:00,Piet,Fenella,215,4,B,4,4,5,5,5,5,4,3,6,6,5,6,"Maybe try to make me feel the same way she did, nostalgic. ",4,I could imagine a normal conversation in which it would happen. 
23/11/2018 09:46:39,Piet,22/11/2018,16:30:00,Piet,Fenella,216,2,A,5,5,3,5,5,5,3,5,3,3,3,4,A feeling of joyfulness when thought of the Lego. ,4,There was a slither of joyfulness perceived through the tactile display. 
23/11/2018 09:53:36,Piet,22/11/2018,16:30:00,Piet,Fenella,216,4,A,3,3,4,3,4,3,5,5,4,5,5,4,A bit of anger and frustration about the lack of competence of the math teacher. ,4,The perception of the touch was rough. 
23/11/2018 12:07:12,Fenella,23/11/2018,9:30:00,Piet,Fenella,302,2,B,7,7,4,4,4,4,5,3,5,7,3,6,To put you out your concentration,4,Words and feeling were similar
23/11/2018 12:14:36,Fenella,23/11/2018,10:00:00,Piet,Fenella,303,2,A,4,4,4,4,4,4,3,2,3,4,5,6,I don't know,3,For me it doesn't matter
23/11/2018 12:17:35,Fenella,23/11/2018,10:00:00,Piet,Fenella,303,4,A,4,4,3,4,6,4,3,3,2,5,4,6,I don't know,3,For me it doesn't matter
23/11/2018 12:27:03,Fenella,23/11/2018,10:30:00,Piet,Fenella,304,2,B,5,4,5,5,6,6,4,2,5,3,3,2,To convey the light humour in her reply,4,-
23/11/2018 12:28:29,Fenella,23/11/2018,10:30:00,Piet,Fenella,304,4,B,5,5,5,6,5,6,2,3,4,3,3,2,Just smiling. Happiness.,3,-
23/11/2018 14:15:13,Piet,23/11/2018,11:30:00,Piet,Emily,306,2,A,2,4,3,3,5,4,3,3,3,5,5,3,"Im not sure, Im guessing a just a regular touch on the hand while talking. ",1,The answer & the touch wasn't compatible.
23/11/2018 14:17:05,Piet,23/11/2018,11:30:00,Piet,Emily,306,4,A,5,5,3,4,5,4,5,4,5,3,3,4,Still no idea; I guess its probably same answer as before. ,1,Not compatible.
23/11/2018 13:59:28,Piet,23/11/2018,12:00:00,Piet,Emily,307,2,B,5,6,4,,5,6,4,4,5,2,3,4,Thanks for asking,3,That depends on the relationship of the two people and if the respondent feels supported by the question. 
23/11/2018 14:01:54,Piet,23/11/2018,12:00:00,Piet,Emily,307,4,B,5,6,6,5,5,4,3,3,5,2,2,2,Sympathy,1,I don't see a reason why to touch the other person. It wasn't and emotional question. But it could be different for her because of her different background (Asian). 
23/11/2018 13:37:31,Piet,23/11/2018,12:30:00,Piet,Emily,308,2,B,7,7,6,5,5,7,3,6,6,4,6,7,I think she wanted to convey that the experience she told me about was very important to her. ,4,"It did, because of the timing. However, it feels very mechanical so it is hard to tell whether I interpret the touch right. "
23/11/2018 13:42:45,Piet,23/11/2018,12:30:00,Piet,Emily,308,4,B,7,7,7,7,7,7,3,3,6,3,5,5,"I think she wanted to convey that she has really good memories about those times when they played together with lego, and that she misses it. ",3,"The touch feels very mechanical and neutral, so it is hard to interpret what sensation she wants to convey when I don't see her. "
23/11/2018 13:48:00,Maureen,23/11/2018,13:00:00,Maureen,Emily,309,2,B,2,4,2,3,4,2,3,4,5,1,3,2,Some sort of emotion in this case something like disbelief or anger,2,"Not, because the touch was almost too soft to convey any anger-like emotion"
23/11/2018 13:50:22,Maureen,23/11/2018,13:00:00,Maureen,Emily,309,4,B,1,1,1,1,2,1,5,5,4,5,5,5,I think it had to do with conveying joy  looking back at a fun memory,1,The touch was unpleasant while the meaning behind it would be pleasant
23/11/2018 14:32:24,Maureen,23/11/2018,13:30:00,Maureen,Emily,310,2,A,6,7,7,7,6,6,5,5,4,2,2,3,To make a deeper connection with the interviewer and highlight the relevance of the answer being discussed,5,Because I think people are more receptive with physical contact
23/11/2018 14:56:06,Maureen,23/11/2018,13:30:00,Maureen,Emily,310,4,A,6,6,6,6,6,6,4,3,3,3,2,2,"It is an important topic for the person, it seems that this was an important event in her career that leaded to where she is now, the touh was to highlight this",4,"The touch wsa uneven, less pleasant than last time"
23/11/2018 15:05:24,Maureen,23/11/2018,14:00:00,Maureen,Emily,311,2,B,2,2,2,2,4,2,5,5,2,5,5,5,She was trying to show her deep dissatisfaction with her teacher,5,"The perceived meaning was a bit negative and shows a bit too much confidence, to certain extent I felt aggression. The touch on my arm was also a bit intrusive as I felt"
23/11/2018 15:07:45,Maureen,23/11/2018,14:00:00,Maureen,Emily,311,4,B,4,4,2,2,4,4,3,5,3,5,5,5,"To show her warm memory with her family, the warm feeling about the family activities",1,"The touch was rough and unease, I expect a softer touch"
23/11/2018 15:49:08,Maureen,23/11/2018,14:30:00,Maureen,Emily,312,2,B,5,4,4,3,6,4,3,3,2,3,2,4,"Just to show an exitement regarding the subject, showing the interest and saying that she really means it (loves math)",3,-
23/11/2018 15:55:35,Maureen,23/11/2018,14:30:00,Maureen,Emily,312,4,B,5,6,7,6,6,4,5,3,6,4,2,3,"similar to the previous question, to show her exitement. I feel like she does the touch whenever we talk about something that she loves. This time it's about how she loved to play with lego as a child",4,I think because this time is longer and I can imagine if I'm talking to a close friend in person I could hold their hand unknowingly to show my exitement
23/11/2018 16:20:39,Maureen,23/11/2018,15:30:00,Maureen,Fenella,314,2,A,6,6,6,6,7,5,5,3,4,3,3,4,That she enjoyed the question. Maybe some enthousiasm,4,It seemed/felt appropriate
23/11/2018 16:23:33,Maureen,23/11/2018,15:30:00,Maureen,Fenella,314,4,A,3,4,3,5,6,4,3,4,2,5,4,5,I really don't know,1,I don't know the conveyed meaning
23/11/2018 16:50:48,Maureen,23/11/2018,16:00:00,Maureen,Fenella,315,2,B,5,4,5,4,6,5,3,3,6,5,5,3,"An emotion, in this case irritation towards her math teacher, but positive feeling for herself. With the touch I think she wants to give her emotions more meaning",2,"With this emotion I would expect a shorter, rougher touch, more like a flick"
23/11/2018 16:53:59,Maureen,23/11/2018,16:00:00,Maureen,Fenella,315,4,B,5,5,5,5,6,6,3,3,5,3,4,3,Joy and good memories of playing together with her brothers,3,"While the type of touch matched the emotion, I am not used to getting touched on my arm by another when expressing this emotion"
23/11/2018 17:16:06,Maureen,23/11/2018,16:30:00,Maureen,Fenella,316,2,A,1,2,3,1,5,2,3,5,5,7,6,7,I don't know. It was a weird moment and unneccesary,1,"The conversation was not about feelings on emotional stuff, so I did not need the touch feeling"
23/11/2018 17:18:48,Maureen,23/11/2018,16:30:00,Maureen,Fenella,316,4,A,2,3,3,3,2,5,3,3,4,3,4,4,Nothing I believed she had to because of the experiment,1,She told me about Math. Not a topic for a gentle touch
26/11/2018 12:12:20,Maureen,26/11/2018,11:30:00,Maureen,Fenella,406,2,B,5,5,5,6,6,4,2,3,3,4,5,5,I think maybe some kind of friendly bond over the shared memories,3,"It is a kind of weird vibrating feeling, not like a friend touching your arm"
26/11/2018 12:14:48,Maureen,26/11/2018,11:30:00,Maureen,Fenella,406,4,B,6,6,5,6,6,4,3,3,3,5,5,5,"I think the meaning was looking fo confirmation, if I agreed to what she said, maybe because she told me about lego, what I loved as a child.",3,It feels synthetic
26/11/2018 12:50:07,Maureen,26/11/2018,12:00:00,Maureen,Fenella,407,2,A,6,5,6,6,7,6,4,2,3,5,5,4,Nostalgia (from the other person),4,"It is a very intimate feeling, however connects us and so we can share the nostalgia which will comfort both of us"
26/11/2018 12:51:58,Maureen,26/11/2018,12:00:00,Maureen,Fenella,407,4,A,5,4,5,6,7,5,5,5,3,6,6,4,To appear friendly,3,It felt slightly unnecessary considering the context
26/11/2018 13:21:10,Maureen,26/11/2018,12:30:00,Maureen,Fenella,408,2,B,5,5,5,3,4,5,3,3,5,3,5,6,Connecting with people,2,"It is a bout math, no emotional connect"
26/11/2018 13:22:57,Maureen,26/11/2018,12:30:00,Maureen,Fenella,408,4,B,5,5,6,5,5,5,3,3,4,6,6,5,Connect with the other person,3,Normally you don't touch another with that kind of question
26/11/2018 14:13:46,Maureen,26/11/2018,13:00:00,Maureen,Emily,409,2,A,5,6,6,4,5,5,3,5,4,6,3,4,Het familie gevoel // The family feeling,4,Ik heb niets met dat trillen // I don't care too much for the vibrating
26/11/2018 14:16:02,Maureen,26/11/2018,13:00:00,Maureen,Emily,409,4,A,3,4,5,4,6,6,4,6,6,3,3,4,The importance of her answer,4,It seems important for her
26/11/2018 14:25:32,Maureen,26/11/2018,13:30:00,Maureen,Emily,410,2,A,6,6,6,5,5,6,3,2,1,2,2,2,I have no idea,1,Can't see a link between the message and the touch
26/11/2018 14:27:23,Maureen,26/11/2018,13:30:00,Maureen,Emily,410,4,A,5,6,6,6,5,6,2,1,2,2,2,2,still no clue,1,"Describing your favorite subject does not seem to be a loaded story, so touching does not make sense"
26/11/2018 14:49:36,Maureen,26/11/2018,14:00:00,Maureen,Emily,411,2,B,4,4,4,7,4,4,4,4,4,4,4,4,No clue,3,no clue
26/11/2018 14:50:56,Maureen,26/11/2018,14:00:00,Maureen,Emily,411,4,B,4,4,4,7,4,4,4,4,4,4,4,4,Connection with her brother,3,It just felt like it
26/11/2018 15:18:08,Maureen,26/11/2018,14:30:00,Maureen,Emily,412,2,B,3,4,1,4,4,4,6,6,6,7,7,7,Quite unsure why this answer would warrant a physical contact. Maybe supposed to mean/indicate sympathy,1,It was not a sensitive question to necessitate physical contact
26/11/2018 15:20:29,Maureen,26/11/2018,14:30:00,Maureen,Emily,412,4,B,5,5,6,5,7,5,2,3,2,2,2,4,A feeling of physical contact because of talking about family/reminiscing,4,A pleasant memory accompanied by a softer touch
26/11/2018 15:53:07,Piet,26/11/2018,15:00:00,Piet,Emily,413,2,B,4,4,4,4,4,4,2,2,2,2,2,2,no idea?!,2,totally no idea!!
26/11/2018 15:54:32,Piet,26/11/2018,15:00:00,Piet,Emily,413,4,B,4,4,4,4,4,4,2,2,2,2,2,2,totally no idea!! totally no clue at all!!,2,totally no idea!! totally no clue at all!!
26/11/2018 16:16:43,Piet,26/11/2018,15:30:00,Piet,Emily,414,2,A,4,4,3,3,1,1,1,1,3,4,5,2,don't know: that that she was okay with answering the question. ,2,"It felt like a little strock, like placing a sticker. "
26/11/2018 16:18:28,Piet,26/11/2018,15:30:00,Piet,Emily,414,4,A,6,3,4,1,1,1,5,3,4,3,3,3,joy; selfpride,4,both positive
26/11/2018 16:46:59,Piet,26/11/2018,16:00:00,Piet,Emily,415,2,B,4,4,4,4,4,4,5,5,3,3,3,2,"As she was talking about herself, I'd like to think she was trying to connect the feeling, she felt that time. ",2,"I would have expected a more 'static' touch, the apparatus felt like a *2 unreadible words*"
26/11/2018 16:49:49,Piet,26/11/2018,16:00:00,Piet,Emily,415,4,B,5,5,5,4,4,4,5,4,5,4,4,4,"Excitement, as from the question's nature and reply she seemed to have enjoyed legos. ",4,A larger 'touch' matches excitement I guess. 
26/11/2018 17:32:59,Piet,26/11/2018,16:30:00,Piet,Emily,416,2,A,4,5,5,5,5,5,2,2,4,3,3,4,I really cannot put my finger on it. Trying to feel closer? Though that would not really make sense to me in this context. ,1,I have no idea what the intended meaning was. 
26/11/2018 17:35:18,Piet,26/11/2018,16:30:00,Piet,Emily,416,4,A,5,5,4,5,6,5,2,2,4,3,2,4,I still don't understand the message she send me I consider a bit mean so maybe this was an effort to sound less mean. ,1,I did not experience an improvement in her message. 
27/11/2018 10:03:25,Fenella,27/11/2018,9:30:00,Fenella,Maureen,502,2,A,5,3,3,3,3,3,2,2,6,5,5,3,I think to have me pay attention to her answers,2,too long
27/11/2018 10:05:42,Fenella,27/11/2018,9:30:00,Fenella,Maureen,502,4,A,3,3,3,3,4,3,3,4,5,2,6,5,"No idea, perhaps to try to connect during the conversation. Or to convince me of her answer (' i am better than the rest')",2,"It is uncomfortable, too long. I would not know the purpose of her touching me."
27/11/2018 11:11:52,Fenella,27/11/2018,10:30:00,Fenella,Maureen,504,4,B,5,6,3,3,3,3,6,6,6,4,5,4,"Good, positive and happy memories",4,"The touch was soft, light and expressed the positive feelings of the memory"
27/11/2018 11:14:00,Fenella,27/11/2018,10:30:00,Fenella,Maureen,504,2,B,4,4,4,4,4,4,2,3,4,5,5,4,"There was a lot of emotion in the answer, but also some insecurities. Maybe she is vulnerable in this topic",2,"Because there are multiple different aspects in the answer, I don't know how to perceive it."
27/11/2018 11:52:14,Fenella,27/11/2018,11:00:00,Fenella,Maureen,505,4,A,3,3,4,3,5,4,2,2,4,5,3,3,"Do you get it? Finding a way to bond, to ask or I knew the feeling",4,In a normal situation some might touch your arm
27/11/2018 11:54:03,Fenella,27/11/2018,11:00:00,Fenella,Maureen,505,2,A,5,4,5,4,5,4,3,2,5,5,4,4,She told something personal and wanted me to feel the moment.,2,You don't see faces and I think normally you won't touch but get it from the face
27/11/2018 12:13:36,Fenella,27/11/2018,11:30:00,Fenella,Maureen,506,2,B,5,3,4,3,2,3,5,3,5,4,3,2,Couldn't grab any meaning from the conveyed touch,1,"Couldn't grab a meaning, so no."
27/11/2018 12:15:14,Fenella,27/11/2018,11:30:00,Fenella,Maureen,506,4,B,4,3,3,4,4,5,6,5,5,6,4,3,Sadness from remembering childhood,2,Didn't seem to be correlated
27/11/2018 12:52:07,Fenella,27/11/2018,12:00:00,Fenella,Maureen,507,4,A,4,5,4,3,4,3,2,2,5,2,2,3,That she felt sort of proud of being the best in maths when she was in elementary school. despite the teacher being useless,3,"It felt more appropriate than the last one, but I still think I would feel weird if it happened face to face."
