Timestamp,Filled in by,Date of experiment,Time slot,Experimenter,Confederate,Participant ID:,Question # was touch received,Script,a,b,c,d,e,f,g,h,i,j,k,l,Meaning of the touch,Meaning of touch matched tactile stimuli?,Why or why not?
27/11/2018 12:54:09,Fenella,27/11/2018,12:00:00,Fenella,Maureen,507,2,A,3,5,2,3,3,4,3,2,5,3,2,3,Maybe she was excited to talk about family memories in her childhood.,2,"If feels too personal, more like the 'flirty' kind of touch than the one in a friendly conversation."
27/11/2018 13:36:48,Piet,27/11/2018,12:30:00,Fenella,Maureen,508,2,B,6,3,5,3,6,4,3,3,4,6,6,3,"Probably that the answer to the question was a funny and personal anecdote, maybe the touch was meant to convey it was a joke. ",4,"A bit, but it felt buzzy and ticklish. "
27/11/2018 13:52:23,Piet,27/11/2018,12:30:00,Fenella,Maureen,508,4,B,5,6,5,4,6,4,3,4,5,4,3,4,Harder to say... Maybe because it is a touching memory she holds dear. ,3,Still too much buzzy and ticklish for me to convey much emotion. It was definitely longer than last one which fits the perceived meaning. 
27/11/2018 14:01:06,Piet,27/11/2018,13:00:00,Piet,Maureen,509,2,A,5,3,2,3,1,3,5,5,6,4,3,3,I think it was related to the nostalgic feeling she had towards the birthday present. It made her feel warm and she wanted to share that. ,2,"I get why it is there in the first place, but it's not warm or emotional to me. "
27/11/2018 14:04:03,Piet,27/11/2018,13:00:00,Piet,Maureen,509,4,A,5,5,2,2,2,2,6,5,6,4,3,3,It think it is related to the part where she says she thought/knew she was better than the rest. Once more a nostalgic memory of prima and confidence when she found out something cool. ,4,Maybe it is more applicable than the previous one as a short intense vibration depicts confidence. But I'm not sure. 
27/11/2018 14:24:50,Piet,27/11/2018,13:30:00,Piet,Maureen,510,2,A,6,6,6,6,7,6,5,6,3,5,4,6,Let me know that the participant is still actively taking part in the interview & grab my attention. ,3,I'm not really sure. There isn't a real emotional meaning to the Skype answer. 
27/11/2018 14:27:07,Piet,27/11/2018,13:30:00,Piet,Maureen,510,4,A,3,4,3,4,5,3,5,5,3,6,5,5,To emphasise the frustration about the teacher being useless. ,4,"This time the stimulation felt 'angry', just like what's in the message about the useless teacher. "
27/11/2018 14:57:21,Piet,27/11/2018,14:00:00,Piet,Maureen,511,2,B,2,4,3,2,2,4,5,5,6,5,5,6,The touch felt a bit awkward. I think the interviewee tried to convey emotion of childhood memory but felt odd with the combination: 'that's when I learned I'm better than the rest'.,1,felt uncomfortable & out of place. 
27/11/2018 15:00:09,Piet,27/11/2018,14:00:00,Piet,Maureen,511,4,B,2,3,5,4,6,4,3,3,5,5,5,5,"Nostalgic memories with her brother, trying to convey the sentimenal emotion.",4,Soft sensation & suited the nostalgic memories. 
28/11/2018 09:00:42,Maureen,27/11/2018,14:30:00,Piet,Maureen,512,2,B,4,5,4,5,5,5,2,2,3,4,4,4,"I don't know for sure, I think it had something to do with the question/answer",3,"Yes, it matches with the stimulation, because it fits to the answer given"
28/11/2018 09:13:36,Maureen,27/11/2018,14:30:00,Piet,Maureen,512,4,B,5,5,5,5,5,5,3,3,4,3,3,4,That I remembered this person on something happened during the childhood playing together with her brothers,4,Because  the interaction fitted with the answer
28/11/2018 10:23:21,Piet,28/11/2018,9:00:00,Piet,Maureen,601,2,A,2,2,2,5,4,2,4,6,,6,6,4,"Honestly, I was surprised and didn't expected it. ",2,From the text content I didn't expected a touch and the touch itself was unpleasant. 
28/11/2018 10:27:53,Piet,28/11/2018,9:00:00,Piet,Maureen,601,4,A,1,1,1,4,5,2,5,,4,7,6,5,"I guess a touch from the other side should mean 'I believe you, want to get closer' however from the content I didn't feel the other so close or *unreadable word* to confess. ",1,*no answer filled in*
28/11/2018 10:51:01,Piet,28/11/2018,9:30:00,Piet,Maureen,602,2,B,3,4,5,4,5,5,3,2,5,6,6,3,I dit not really understand. I am not sure this would make sense in a similar context in real life. ,3,I did not understand the conveyed meaning. 
28/11/2018 10:54:34,Piet,28/11/2018,9:30:00,Piet,Maureen,602,4,B,6,6,7,5,5,4,3,2,5,2,2,2,I think it was meant to convey some sort of friendly gesture/bonding. Also because the question is something quite personal. ,4,"It fits the type of question,  a bit more personal."
28/11/2018 11:21:15,Piet,28/11/2018,10:00:00,Piet,Maureen,603,2,A,5,4,5,4,5,3,6,5,2,5,5,6,Her emotion that she felt. I think she tried to communicate with the touch that this memory is very important to her. ,2,Because the sensation felt a bit too harsh. It is different from getting a hand placed on your arm for example. 
28/11/2018 11:23:52,Piet,28/11/2018,10:00:00,Piet,Maureen,603,4,A,3,3,4,3,2,3,5,6,5,5,6,5,Maybe some apologetic gesture. Her answer seems a bit arrogant. She could have tried to make it feel less arrogant by providing touch. ,4,To lower the arrogance level touching might help a bit to be less of a douchebag. 
28/11/2018 12:04:55,Maureen,28/11/2018,10:30:00,Piet,Maureen,604,2,B,2,2,4,2,4,4,3,3,3,4,3,4,making a point,2,"Usually you touch someone when they are emotional, not when they say they are smarter than the rest"
28/11/2018 12:07:26,Maureen,28/11/2018,10:30:00,Piet,Maureen,604,4,B,5,4,4,5,5,4,3,3,4,3,3,3,Emotional value of a childhood memory,4,"Touch went together with childhood memory, is fitting"
28/11/2018 12:17:17,Piet,28/11/2018,11:00:00,Piet,Fenella,605,2,B,3,4,4,3,5,5,4,2,3,4,4,5,Something that is more personal story (or) that is true. ,2,Probably the rigidness of the touch. 
28/11/2018 12:19:28,Piet,28/11/2018,11:00:00,Piet,Fenella,605,4,B,5,4,5,5,5,5,3,3,4,3,4,4,Personal (or) a true story. ,4,Because of my perception of the touch with the answers. 
28/11/2018 12:46:41,Piet,28/11/2018,12:00:00,Piet,Fenella,607,2,A,6,6,6,6,6,6,5,5,3,3,5,5,Happy thought,5,*no answer filled in*
28/11/2018 12:49:13,Piet,28/11/2018,12:00:00,Piet,Fenella,607,4,A,4,4,3,3,5,3,6,5,5,5,5,5,Stronger 'pulse' so she must still be angry about the teacher while she was good in math. ,5,I think I could feel her anger. 
28/11/2018 13:12:04,Piet,28/11/2018,12:30:00,Piet,Fenella,608,2,A,5,5,6,5,6,5,3,2,3,4,5,5,"I'm not sure, maybe a kind of 'fun' touch, while laughing. ",3,I'm not sure what the meaning was behind this touch. 
28/11/2018 13:19:17,Piet,28/11/2018,12:30:00,Piet,Fenella,608,4,A,4,5,6,4,4,4,3,3,4,2,3,4,"Again, I'm not sure why I received a touch. We were talking about subjects, and she told me she learnt she was better in math than the rest. So, maybe a kind of 'proud touch'. ",3,"It was a short touch, which fit the 'proud touch'. "
28/11/2018 15:11:18,Piet,28/11/2018,13:30:00,Piet,Fenella,610,2,B,6,5,4,5,6,5,3,3,6,4,5,5,I think this was  an important moment to her when she was young & she wanted me to know this for sure. ,4,"It wasn't rough nor very smooth, it was just a quick message to say 'Hey, this is important to me'. "
28/11/2018 15:14:03,Piet,28/11/2018,13:30:00,Piet,Fenella,610,4,B,5,5,6,4,5,6,3,2,3,4,3,2,That the question excited here because it brings back good memories.,5,Because now I can kind of imagine her sitting there and building lego cities with her brothers. 
28/11/2018 15:46:13,Emily,28/11/2018,15:00:00,Emily,Fenella,613,2,B,5,3,4,3,6,4,2,3,6,4,3,4,I think they were trying to show confidence in their answer.,4,I associated the reason for the touch with what was written.
28/11/2018 15:56:44,Emily,28/11/2018,15:00:00,Emily,Fenella,613,4,B,3,3,4,5,6,4,3,2,5,1,2,4,The meaning of the touch was to display the emotions and nostalgia that the other person was portraying in their memory (?) ,4,It was similar to the first massage where the meaning of the touch was associated to what I was reading.
28/11/2018 16:26:23,Emily,28/11/2018,15:30:00,Emily,Fenella,614,2,A,5,4,3,5,7,4,3,1,3,5,3,5,"Like poking the back, when she wants to get a reply.",1,This stimulation does not mean that the reply was kind of exciting how she liked in playing Lego as a family.
28/11/2018 16:28:30,Emily,28/11/2018,15:30:00,Emily,Fenella,614,4,A,3,4,2,4,6,5,4,4,2,4,5,5,She was pissed off by that question or she tries to convey how that event was.,3,To make me read and convey to me about the answer or reply.
28/11/2018 16:49:02,Emily,28/11/2018,16:00:00,Emily,Fenella,615,2,A,3,2,2,2,3,2,5,6,6,6,7,6,The other person could have been striving to point that she was really what she meant. How emotional it was. But because of the vibration of the machine it felt unpleasant to me.,1,Because human touch cannot be replaced by a machine.
28/11/2018 16:52:41,Emily,28/11/2018,16:00:00,Emily,Fenella,615,4,A,1,2,2,1,2,2,6,6,4,6,6,4,"She wanted to stress on the fact that she was better than others, but she also had a hatefulness against the math teacher.",3,It could have been conveyed by the tactile machine as she was unsatisfied with the math teacher.
29/11/2018 10:20:20,Maureen,28/11/2018,16:30:00,Emily,Fenella,616,2,A,6,6,5,6,6,5,2,2,4,2,2,3,That she felt good when answering to that particular question,,-
29/11/2018 10:22:27,Maureen,28/11/2018,16:30:00,Emily,Fenella,616,4,A,5,5,4,5,5,5,3,3,3,2,3,2,was not clear to me,4,the touch was a bit harder than the first one
29/11/2018 11:38:47,Fenella,29/11/2018,11:00:00,Fenella,Maureen,705,4,B,5,5,5,5,6,5,3,3,4,3,4,4,I think she was trying to convey her joyful memories,4,the touch felt plesant
29/11/2018 11:40:31,Fenella,29/11/2018,11:00:00,Fenella,Maureen,705,2,B,4,4,5,4,5,4,3,4,6,5,5,4,I think the meaning was to show that the other participant felt comfortable,3,"The touch itself gave that idea, but how it felt didn't"
29/11/2018 12:12:07,Fenella,29/11/2018,11:30:00,Fenella,Maureen,706,4,A,4,5,4,5,5,5,2,3,4,4,2,2,"She was talking about maths being her favourite subject and how she was smarter than the teacher in elementary school, so maybe she was trying to receive some sympathy with the touch",3,"again, I was sort of surprised by the touch at this moment"
29/11/2018 12:14:33,Fenella,29/11/2018,11:30:00,Fenella,Maureen,706,2,A,4,5,4,5,4,4,2,2,4,3,2,2,"She was talking about family, which is maybe why she wanted to touch someone, since family gives this vibe of cosiness. ",2,It did not really feel like a human touch and it took me by surprise
29/11/2018 13:52:58,Fenella,29/11/2018,12:00:00,Fenella,Maureen,707,4,B,7,7,7,4,7,7,2,2,1,2,2,4,The joy of remembering the childlike freedom,5,"Remembering one's childhood brings one in another state of mind, more emotional maybe. A touch aws a bonding means of communication in this setting"
29/11/2018 13:55:38,Fenella,29/11/2018,12:00:00,Fenella,Maureen,707,2,B,5,5,5,4,3,5,2,2,1,6,5,4,Conveying some discomfort that accompanied the memory. It was not clear for me. The situation did not ask for it in my opinion.,1,The touch is a nurturing signal and the answer was quite negative. Therefore I couldn't match the two.
29/11/2018 17:33:21,Piet,28/11/2018,16:00:00,Piet,Fenella,715,2,B,4,5,2,3,6,5,6,7,6,7,4,5,Indicating trust as she has just given a personal answer about her childhood.,1,"I would expect a very soft, short touch. "
29/11/2018 17:33:44,Fenella,29/11/2018,16:00:00,Piet,Fenella,715,4,B,5,5,5,6,7,6,5,5,6,3,4,4,"Enthusiasm about good memories from the past, which she was talking about. ",4,It felt relaxed and enthusiastic though not human. i would expect a quick relatively hard touch
30/11/2018 11:23:07,Piet,30/11/2018,10:30:00,Piet,Fenella,804,2,B,2,2,4,5,3,2,2,2,6,5,3,4,It's not very suitable in the conversation context - is she flirting with me? Thats all I can guess. ,1,Because the touch startled me very much. 
30/11/2018 11:26:15,Piet,30/11/2018,10:30:00,Piet,Fenella,804,4,B,4,3,4,3,4,4,4,5,6,5,3,5,Excitement over childhood memories - like putting a hand on your conversational partner's arm.,2,It shouldn't be a 'stroke' but more like a hand placed on you and then lifted up again. 
30/11/2018 11:38:06,Piet,30/11/2018,9:30:00,Piet,Fenella,802,2,A,3,3,6,4,5,5,5,5,3,5,5,,That she liked the question. ,3,The touch was not really pleasant but it did gave me a signal->that she liked the question /that she acknowledge me. 
30/11/2018 11:40:38,Piet,30/11/2018,9:30:00,Piet,Fenella,802,4,A,3,3,5,3,5,5,5,5,4,5,5,,That she liked the question OR that she just wanted to touch me because it was 'already' 2 questions ago that she did. ,3,I see it as a signal. The touch is not necessarily pleasant. 
30/11/2018 11:48:55,Piet,30/11/2018,9:00:00,Piet,Fenella,801,2,A,4,3,3,3,3,3,5,5,3,4,4,4,That I ask about some interest in the history. ,2,It don't give me a physical stimulation. 
30/11/2018 11:51:02,Piet,30/11/2018,9:00:00,Piet,Fenella,801,4,A,5,3,4,5,5,5,5,5,5,4,4,4,That I ask some special things of the elementary school.,3,No comment.
30/11/2018 13:14:16,Piet,30/11/2018,12:30:00,Piet,Emily,808,2,A,4,3,4,3,6,4,2,3,5,4,2,6,Some kind of affection,4,Quite light and quite long
30/11/2018 13:16:02,Piet,30/11/2018,12:30:00,Piet,Emily,808,4,A,3,3,4,4,3,4,5,5,5,5,4,6,Frustration,4,I think heavier/harder touch fits well with frustration. 
30/11/2018 13:43:22,Fenella,30/11/2018,13:00:00,Fenella,Emily,809,2,A,6,2,4,5,4,5,6,4,6,4,4,3,"To say that she liked the question, maybe because of some good memories",2,Because it feels a bit intimate which is not really appropriate for a formal interview
30/11/2018 13:45:28,Fenella,30/11/2018,13:00:00,Fenella,Emily,809,4,A,5,4,4,4,3,3,5,4,5,5,4,4,"She liked the question, probably because it reminded her of a occasion in which she felt good and strong",3,"It gave a kind of funny feeling, whereas the answer wasn't really funny"
30/11/2018 14:42:39,Fenella,30/11/2018,14:00:00,Fenella,Emily,810,2,A,6,6,5,6,4,6,2,2,4,4,3,4,"Maybe, the person would have been reminded of something form childhood which might have touched the person's heart.",4,Because the mediated touch was more proportional to the person's thoughts of indicates how close those thoughts were to that person.
30/11/2018 14:46:08,Fenella,30/11/2018,14:00:00,Fenella,Emily,810,4,A,7,7,7,6,7,6,2,2,4,1,2,4,"The person tried to convey that the thoughts originated based on this question, really has a lot of impact in the person's mind.",4,The touch corresponded to the favourite subject as a child. It has a lot of impact when it is especially related to childhood.
30/11/2018 15:16:18,Fenella,30/11/2018,14:30:00,Fenella,Emily,812,4,A,4,4,5,5,5,4,4,3,5,4,3,4,"No clue, just that conversations should proceed??",1,just couldn't make sense of it
30/11/2018 15:18:18,Fenella,30/11/2018,14:30:00,Fenella,Emily,812,2,A,3,5,4,5,5,4,3,3,5,5,5,5,To connect more with her story. Cozy feeling describing family.,2,Was too long and shaky.
3/12/2018 12:08,Fenella,3/12/2018,11:00:00,Fenella,Emily,905,2,B,4,5,5,6,5,6,1,1,3,1,1,1,I think the other person felt safe and comfortable to share their personal life stories,2,Mainly because of the noise in the background. It did not setup a pleasant enviornment
3/12/2018 12:09,Fenella,3/12/2018,11:00:00,Fenella,Emily,905,4,B,5,5,5,4,5,5,1,1,3,1,1,1,I felt that they feel ok to share their family moments,3,"The noise was the problem. Otherwise, it would have felt more real."
3/12/2018 12:37,Fenella,3/12/2018,12:00:00,Fenella,Emily,907,4,A,5,5,6,7,5,5,4,5,4,5,3,3,To show excitement on the memory of being smart in school,4,"It was quite soft, what matches a positive memory. But also a bit tense, probably because of the useless teacher"
3/12/2018 12:39,Fenella,3/12/2018,12:00:00,Fenella,Emily,907,2,A,6,6,7,7,5,6,3,5,4,3,2,3,I think to demonstrate the happy memories of playing with lego.,4,"Because a happy memories matches a soft, relaxed touch "
3/12/2018 13:42,Maureen,3/12/2018,13:00:00,Maureen,Emily,909,2,B,5,4,5,4,5,5,2,4,4,4,5,4,because she shared somthing from her youth,4,because it was personal I guess
3/12/2018 13:44,Maureen,3/12/2018,13:00:00,Maureen,Emily,909,4,B,5,5,5,5,5,5,2,4,4,4,4,3,To tell/show that she likes to tell me things,4,Because she shows more of herself
3/12/2018 14:12,Maureen,3/12/2018,13:30:00,Maureen,Emily,910,2,B,6,5,5,6,4,5,2,2,4,3,2,4,"I think the touch was meant to convey a message such as ""now it's your turn""",2,it was a rather long touch compared to the meaning I think it gave
3/12/2018 14:15,Maureen,3/12/2018,13:30:00,Maureen,Emily,910,4,B,5,6,6,5,5,4,2,3,5,3,2,4,"I think the meaning was to grab me by the arm and say ""come and play like a child""",3,it was rather soft but it was at the right spot
3/12/2018 15:17,Maureen,12/3/2018,14:00:00,Maureen,Emily,911,2,B,4,4,4,3,3,4,5,5,5,4,3,3,"I do not know, it seems there is a correlation with the Q&A. It's like saying ""just kidding"" ",3,no
3/12/2018 15:19,Maureen,12/3/2018,14:00:00,Maureen,Emily,911,4,B,4,4,4,5,4,4,3,3,4,4,3,3,"Nothing at all, maybe she meant what she said, like she cares or fond of that memories (based on her answer)",2,I do not think touch is necessary when someone said that (the answer in the screen)
3/12/2018 16:18,Maureen,3/12/2018,15:00:00,Maureen,Emily,913,2,B,3,4,5,4,2,2,3,3,5,4,5,4,Maybe trying to convey that she is very special and talented,3,It does because the response was so that the person felt proud of self and the touch was to stress on that
3/12/2018 16:21,Maureen,3/12/2018,15:00:00,Maureen,Emily,913,4,B,5,4,5,5,4,4,5,4,5,5,4,4,Maybe the other person was missing their family,3,It does because the response to the question involved memories from te past with the family which probably the person missed
3/12/2018 17:18,Maureen,3/12/2018,16:30:00,Maureen,Fenella,916,2,B,5,5,6,5,5,5,5,5,3,4,3,3,I felt they wanted to convey their feeling with the touch. Its genuinity and honest reply.,2,It was random emotional stroke
3/12/2018 17:21,Maureen,3/12/2018,16:30:00,Maureen,Fenella,916,4,B,5,5,6,6,5,5,5,3,3,5,3,5,I think the emotion the person had for the toy and good times with the family,3,It still feels like a random touch sensation which doesn't fully convey the need for it
4/12/2018 10:17,Piet,4/12/2018,9:00:00,Piet,Fenella,1001,2,B,5,4,4,3,2,4,4,5,6,5,4,6,I felt like it was used to make what she was saying more powerful,4,Because it felt harsh and strong and not soft. 
4/12/2018 10:20,Piet,4/12/2018,9:00:00,Piet,Fenella,1001,4,B,5,5,4,3,2,4,4,5,5,3,4,5,I think it was meant to make me feel the emotion she feels about the past and the nice times with family. ,3,The touch feels kind of harsh and not super nice and warm like the memories she described. 
4/12/2018 11:13,Fenella,4/12/2018,10:30:00,Fenella,Maureen,1004,4,B,5,5,4,5,6,5,4,4,3,4,2,4,"Childhood memory, some kind of good nostalgic, that even now is relatable despite being older. ",4,Very relatable thing and it's common to have shared this (or a similar) aspect in childhood.
4/12/2018 11:16,Fenella,4/12/2018,10:30:00,Fenella,Maureen,1004,2,B,4,4,4,5,5,4,3,3,1,4,2,3,"Some kind of connection in the sense that maybe I've had a similar experience with a math (or other subject) teacher. But nothing very serious, more like a funny incident. ",4,Because it seemed like an answer you would receive a tactil response for in day today life.
4/12/2018 11:33,Fenella,4/12/2018,11:00:00,Fenella,Maureen,1005,2,A,5,6,6,6,5,5,2,2,3,3,2,2,I don't know,3,-
4/12/2018 11:34,Fenella,4/12/2018,11:00:00,Fenella,Maureen,1005,4,A,5,6,6,6,6,6,5,5,3,3,4,4,An excitement,2,The touch was too long
4/12/2018 13:51,Piet,4/11/2018,13:00:00,Piet,Maureen,1009,2,A,5,5,4,3,5,5,2,2,6,2,2,3,Describing the feeling of looking forward to receiving a new Lego set. ,4,It gave me a warm feeling that matches the feeling of looking forward to something. 
4/12/2018 13:54,Piet,4/11/2018,13:00:00,Piet,Maureen,1009,4,A,3,3,2,3,3,3,5,3,3,6,5,5,"I'm not sure, I didn't expect a touch with this answer, it felt inappropriate. Maybe because it is a funny story she chose the touch. ",2,"It was not a very positive answer, which I would expect with a touch. "
4/12/2018 15:00,Piet,4/12/2018,13:30:00,Piet,Maureen,1010,2,A,3,4,3,2,4,3,4,4,3,5,3,6,That they felt like it was an 'intimate' response,3,I wasn't expecting it. 
4/12/2018 15:06,Piet,4/12/2018,13:30:00,Piet,Maureen,1010,4,A,3,5,4,4,2,4,3,3,3,4,4,5,Enthusiasm or assertion. Passion. Trying to make me understand the situation. ,4,It was a little 'extreme' of a topic or response. Felt some emotion behind it. 
4/12/2018 15:35,Maureen,4/12/2018,14:00:00,Piet,Maureen,1011,2,A,6,5,5,5,4,4,2,2,2,3,4,2,Mayb she was trying to remember her past and felt good,4,Because it is a positive feeling
4/12/2018 15:42,Maureen,4/12/2018,14:00:00,Piet,Maureen,1011,4,A,6,6,5,5,6,5,3,4,3,3,3,2,The other person was trying to convey that she felt very good in the past about the particular question,5,It matched because it is something good to remember from past
4/12/2018 16:36,Fenella,4/12/2018,16:00:00,Fenella,Maureen,1015,2,A,3,4,5,5,5,4,6,5,6,2,5,2,Maybe felt good about old memories,3,Couldn't really judge
4/12/2018 16:37,Fenella,4/12/2018,16:00:00,Fenella,Maureen,1015,4,A,4,4,5,4,5,5,3,4,6,4,5,4,Could've felt proud about being the brightest,3,Only because of the response I understand the feeling and not the touch.
6/12/2018 12:26,Maureen,6/12/2018,11:30:00,Maureen,Fenella,1206,2,A,5,6,5,6,6,6,4,4,6,2,2,3,Happiness from pleasant memories,4,(filled out after experiment has ended)  I could relate to it
6/12/2018 12:28,Maureen,6/12/2018,11:30:00,Maureen,Fenella,1206,4,A,6,5,6,6,5,4,4,4,5,4,3,3,(filled out after experiment has ended) I felt sorry for the interviewee,3,-
6/12/2018 14:04,Piet,6/12/2018,13:00:00,Piet,Fenella,1209,2,B,5,5,5,5,5,5,3,3,5,3,3,4,I think the other person was trying to accomplish a sense of understanding of their answer through the touch. ,3,"I can imagine this working with a person that I know better, but it's more difficult with a stranger. "
6/12/2018 14:07,Piet,6/12/2018,13:00:00,Piet,Fenella,1209,4,B,5,5,6,5,5,5,5,5,5,3,5,4,That telling the story of the toys and their relation to family life is a look back to happy memories. ,2,It was too rough for conveying the massage of comfort and happiness. 
